,TCAS,AcademicYear,GPA_Eng,GPA_Math,GPA_Sci,GPA_Sco,GPAX,FacultyName,StudentType,MajorName
1587,1,2562,2.32,2.39,1.86,2.4,2.56,6,THAI,English
1588,1,2562,3.16,3.58,2.5,3.44,3.12,6,THAI,English
1589,1,2562,2.93,2.14,3.25,3.34,3.08,6,THAI,English
1590,2,2562,2.5,1.76,3.11,3.35,2.87,6,THAI,English
1591,2,2562,2.98,2.45,2.58,3.69,2.9,6,THAI,English
1592,1,2562,3.04,3.4,3.7,3.56,3.5,6,THAI,English
1593,1,2562,2.75,1.68,2.39,2.67,2.56,6,THAI,English
1594,2,2562,2.5,1.39,2.25,2.54,2.27,6,THAI,English
1595,2,2562,2.05,2.0,2.0,3.07,2.39,6,THAI,English
1596,1,2562,3.09,3.54,3.11,3.66,3.31,6,THAI,English
1597,1,2562,3.21,3.03,2.2,3.7,3.06,6,THAI,English
1598,2,2562,2.39,1.93,2.8,2.36,2.5,6,THAI,English
1599,1,2562,2.66,1.66,2.82,2.97,2.75,6,THAI,English
1600,1,2562,3.62,2.0,2.5,3.4,3.2,6,THAI,English
1601,2,2562,2.16,1.64,1.78,2.8,2.38,6,THAI,English
1602,1,2562,2.89,2.53,3.37,3.65,3.14,6,THAI,English
1603,2,2562,3.42,2.42,3.0,3.83,3.2,6,THAI,English
1604,2,2562,2.21,2.17,3.0,2.21,2.28,6,THAI,English
1605,2,2562,3.0,1.33,1.96,2.47,2.34,6,THAI,English
1606,2,2562,2.56,1.6,2.0,2.62,2.6,6,THAI,English
1607,2,2562,3.16,2.65,3.19,3.77,3.25,6,THAI,English
1608,1,2562,2.74,1.56,2.42,3.6,2.74,6,THAI,English
1609,1,2562,3.3,1.66,2.12,2.6,2.56,6,THAI,English
1610,1,2562,2.85,2.16,1.62,2.7,2.73,6,THAI,English
1611,1,2562,3.0,1.68,2.15,3.2,2.53,6,THAI,English
1612,1,2562,4.0,4.0,4.0,3.78,3.9,6,THAI,English
